age,education_level,gender,stem_interest_score,creativity_score,social_skills_score,analytical_skills_score,problem_solving_score,technical_aptitude_score,communication_score,leadership_potential_score,career_category,specific_career,annual_salary_expectation,work_environment_preference,job_growth_interest,work_life_balance_score,global_mobility_score
20,PhD,Female,50,64,69,41,45,57,48,66,Media and Communication,Social Media Manager,29301,Hybrid,100,69,42
28,Bachelor's,Female,57,12,50,52,53,100,37,66,Business,Business Intelligence Analyst,109170,Hybrid,67,70,36
44,Master's,Non-Binary,89,53,44,71,78,32,41,64,Science,Physicist,101221,Hybrid,83,57,31
32,Professional Degree,Non-Binary,51,38,28,40,51,20,42,52,Education,Educational Consultant,47623,Remote,66,84,44
29,Bachelor's,Female,61,43,0,100,53,52,19,21,Science,Forensic Scientist,106063,On-site,75,58,57
23,Bachelor's,Male,0,48,39,25,67,18,62,22,Arts and Performance,Composer,74862,On-site,100,63,69
50,PhD,Female,55,61,71,61,59,40,16,22,Business,Digital Marketer,77629,Hybrid,95,100,56
28,Bachelor's,Female,62,52,59,43,31,34,34,50,Media and Communication,Copywriter,89066,Travel-based,67,29,25
37,Master's,Female,49,100,53,42,52,70,49,64,Media and Communication,Media Strategist,88326,Remote,100,68,44
37,Bachelor's,Male,30,44,8,53,76,23,53,70,Education,Teacher,11452,Flexible,80,82,76
20,PhD,Female,30,66,53,65,31,79,64,68,Technology,Blockchain Developer,75515,Hybrid,58,38,73
41,Associate Degree,Male,62,33,91,86,62,59,57,19,Business,Startup Founder,67720,Remote,64,62,52
20,Associate Degree,Male,28,68,85,31,54,72,40,64,Business,Startup Founder,46526,Remote,48,59,74
38,Master's,Prefer Not to Say,52,49,62,31,23,40,42,44,Business,Business Intelligence Analyst,100997,On-site,74,85,65
31,Bachelor's,Female,33,26,36,49,27,53,46,42,Business,Supply Chain Manager,73488,On-site,23,83,1
37,Master's,Prefer Not to Say,65,23,26,16,51,43,44,43,Technology,Machine Learning Engineer,93170,Remote,46,41,73
28,Bachelor's,Male,33,78,64,47,84,79,45,42,Arts and Performance,Sound Engineer,137019,Hybrid,50,53,31
44,Bachelor's,Male,64,44,86,19,48,40,69,57,Arts and Performance,Actor,129564,Travel-based,49,25,75
32,PhD,Female,24,47,53,43,41,18,57,12,Media and Communication,Content Creator,86515,Travel-based,70,61,14
39,Master's,Female,67,71,18,49,90,52,33,48,Technology,Network Security Specialist,111073,Remote,82,52,26
22,Master's,Female,48,39,18,22,25,49,41,31,Science,Geologist,95701,On-site,90,52,65
33,Master's,Male,82,57,40,52,25,44,59,62,Media and Communication,Copywriter,79834,Remote,36,52,100
47,Master's,Female,62,55,41,58,82,54,21,0,Engineering,Structural Engineer,82009,Hybrid,54,68,30
26,Professional Degree,Female,35,37,66,61,26,29,58,71,Arts and Performance,Opera Singer,114679,Hybrid,34,81,30
33,Bachelor's,Male,60,8,92,77,63,31,49,66,Social Sciences,Political Scientist,112312,Remote,40,38,46
38,Bachelor's,Female,15,31,40,60,36,53,36,39,Creative,Graphic Designer,95275,Hybrid,70,85,27
29,Master's,Non-Binary,26,27,35,47,62,44,45,48,Creative,Graphic Designer,30891,Travel-based,64,70,63
47,PhD,Male,24,51,47,39,82,51,80,50,Finance and Economics,Real Estate Appraiser,68017,Hybrid,78,69,38
39,Bachelor's,Male,62,58,23,34,67,11,56,48,Business,Human Resources Manager,65081,Hybrid,56,77,58
30,Master's,Male,62,4,53,32,54,57,17,45,Media and Communication,Public Relations Specialist,81334,On-site,46,63,52
24,Bachelor's,Male,22,61,48,49,16,49,63,13,Social Sciences,Political Scientist,72392,On-site,52,49,19
39,Professional Degree,Female,53,76,49,57,39,28,67,75,Culinary and Hospitality,Chef,55777,Hybrid,93,74,53
41,Bachelor's,Non-Binary,90,27,67,61,43,77,58,31,Education,University Professor,70945,On-site,84,58,31
45,Bachelor's,Female,54,35,58,64,11,52,46,69,Finance and Economics,Financial Planner,70543,On-site,70,68,60
44,PhD,Male,49,53,19,49,10,40,51,65,Technology,Cloud Solutions Architect,129055,Hybrid,57,40,57
20,Master's,Male,56,26,34,68,88,30,35,41,Culinary and Hospitality,Catering Manager,69083,Remote,62,49,89
50,Master's,Male,62,70,32,39,29,66,75,38,Education,Educational Consultant,38583,Hybrid,57,53,44
43,Bachelor's,Male,32,52,24,47,39,26,66,67,Science,Chemical Engineer,86330,On-site,34,41,46
21,Professional Degree,Female,76,29,75,23,63,44,47,87,Culinary and Hospitality,Sommelier,101605,Hybrid,100,35,62
24,Professional Degree,Female,37,66,46,41,69,45,32,65,Finance and Economics,Cryptocurrency Analyst,74191,Remote,52,68,44
42,PhD,Female,43,35,24,58,40,10,26,45,Arts and Performance,Arts Administrator,73517,On-site,40,56,45
26,Master's,Female,74,71,62,60,68,28,51,28,Technology,Cybersecurity Analyst,113403,Flexible,66,38,57
50,Bachelor's,Female,54,34,28,70,53,64,0,55,Technology,Data Scientist,145620,On-site,92,50,22
50,High School,Female,55,36,35,69,30,62,56,54,Media and Communication,Technical Writer,41255,On-site,58,29,43
44,PhD,Male,75,54,39,82,38,27,64,59,Culinary and Hospitality,Food Critic,98265,Hybrid,74,49,52
40,Master's,Female,40,61,50,41,45,48,21,37,Media and Communication,Technical Writer,66402,Hybrid,100,61,23
24,High School,Female,42,33,48,34,45,36,71,52,Arts and Performance,Arts Administrator,56252,Hybrid,39,40,67
35,Associate Degree,Male,88,13,23,65,37,62,33,53,Arts and Performance,Theatre Director,115713,Remote,84,95,26
20,Master's,Non-Binary,61,51,52,57,43,51,55,65,Engineering,Civil Engineer,50341,Hybrid,85,29,76
36,Professional Degree,Male,24,61,31,71,36,20,81,54,Arts and Performance,Stage Designer,28246,Hybrid,100,77,33
35,Bachelor's,Prefer Not to Say,60,63,43,55,82,49,69,10,Technology,AI Research Scientist,115282,Remote,78,82,20
34,PhD,Male,48,45,34,46,94,76,33,55,Science,Geologist,54917,Remote,79,62,47
43,PhD,Female,33,89,80,61,25,58,56,60,Culinary and Hospitality,Food Scientist,146435,Remote,78,92,46
32,PhD,Male,98,67,41,52,63,47,53,34,Creative,Music Producer,89201,Remote,81,26,52
29,High School,Male,23,31,71,37,41,44,38,36,Technology,AI Research Scientist,105403,Travel-based,95,43,78
49,Bachelor's,Female,3,57,38,72,35,29,21,44,Media and Communication,Podcast Producer,48921,Remote,100,78,55
41,Associate Degree,Female,66,76,17,32,66,34,44,48,Arts and Performance,Arts Administrator,112435,On-site,85,34,43
46,Master's,Female,70,58,57,55,37,29,36,43,Social Sciences,International Relations Specialist,91057,Hybrid,76,47,58
39,Master's,Female,74,50,70,60,73,82,62,52,Creative,Writer/Author,69887,Hybrid,88,62,41
25,Master's,Male,82,47,100,36,55,43,34,71,Science,Chemical Engineer,102590,Hybrid,85,38,36
21,Bachelor's,Male,62,53,32,34,9,84,70,24,Engineering,Aerospace Engineer,112444,Flexible,60,76,39
31,Associate Degree,Female,44,37,78,68,52,70,17,25,Finance and Economics,Economist,93382,On-site,32,69,65
24,Bachelor's,Male,58,99,74,82,57,57,29,69,Healthcare,Physical Therapist,85921,On-site,76,59,64
34,High School,Female,54,70,25,20,59,79,84,26,Media and Communication,Content Creator,68482,Remote,92,52,20
35,Bachelor's,Male,43,61,34,82,50,42,62,69,Engineering,Software Engineering Manager,117582,On-site,72,92,46
29,Bachelor's,Male,34,28,35,72,64,25,15,28,Creative,Graphic Designer,107686,Travel-based,59,44,44
50,Associate Degree,Male,16,43,66,67,43,70,66,36,Healthcare,Nurse Practitioner,66684,On-site,100,66,64
27,PhD,Female,53,25,52,29,44,18,66,57,Culinary and Hospitality,Event Planner,119015,Remote,71,82,43
36,Professional Degree,Male,92,40,75,60,39,24,29,73,Arts and Performance,Sound Engineer,89316,On-site,86,95,52
36,PhD,Prefer Not to Say,72,56,53,36,31,0,75,47,Finance and Economics,Economist,65797,Flexible,55,52,11
27,High School,Male,57,52,23,24,24,86,80,33,Science,Marine Biologist,86408,Remote,76,20,53
42,Professional Degree,Female,59,28,56,67,36,56,39,90,Creative,Music Producer,34876,Travel-based,100,33,73
24,Bachelor's,Female,54,17,23,68,71,55,65,71,Culinary and Hospitality,Event Planner,84589,Remote,58,46,22
39,Associate Degree,Female,61,36,64,63,64,42,66,60,Social Sciences,Sociologist,94833,Remote,58,73,84
24,Master's,Non-Binary,73,57,83,9,68,45,43,35,Finance and Economics,Financial Planner,50729,On-site,73,78,62
42,Bachelor's,Female,54,72,44,5,54,54,56,72,Media and Communication,Copywriter,57320,Hybrid,46,21,45
34,Professional Degree,Male,64,56,36,47,69,64,39,38,Social Sciences,Social Worker,32926,Remote,100,26,41
26,Bachelor's,Female,72,86,54,48,24,40,82,57,Arts and Performance,Composer,105889,Flexible,67,61,76
37,Bachelor's,Male,35,39,46,61,25,52,42,32,Science,Marine Biologist,62272,Hybrid,48,52,4
32,Associate Degree,Male,4,54,68,48,60,40,19,50,Social Sciences,Policy Analyst,71043,Travel-based,65,74,24
50,Master's,Female,54,12,7,65,100,44,43,59,Healthcare,Nurse Practitioner,116118,Flexible,58,44,0
46,Professional Degree,Female,35,52,67,71,55,54,62,59,Social Sciences,Community Development Manager,21728,Hybrid,85,34,25
31,Master's,Non-Binary,66,58,30,48,41,38,68,100,Education,Educational Psychologist,122785,Remote,100,82,49
21,Bachelor's,Female,74,65,74,66,45,91,57,41,Media and Communication,Copywriter,87843,Flexible,78,70,69
36,Associate Degree,Male,37,34,22,80,46,0,58,58,Healthcare,Medical Researcher,58711,Remote,55,23,33
47,Master's,Female,47,41,72,60,15,38,56,31,Education,University Professor,62399,Remote,48,100,52
44,Bachelor's,Female,37,58,27,51,37,44,34,71,Finance and Economics,Credit Analyst,82146,Hybrid,100,50,47
44,Bachelor's,Female,66,18,37,74,27,52,29,31,Science,Biologist,126994,Remote,86,94,64
34,Bachelor's,Male,36,42,46,86,23,39,32,71,Technology,Cybersecurity Analyst,96730,Hybrid,72,97,56
39,Master's,Female,65,59,60,66,14,50,56,58,Creative,Film Director,63403,On-site,35,57,53
45,Bachelor's,Male,27,47,35,82,48,44,65,93,Arts and Performance,Arts Administrator,105898,Hybrid,39,68,42
35,Associate Degree,Male,90,53,52,50,42,56,66,43,Finance and Economics,Real Estate Appraiser,148994,Remote,62,10,59
20,PhD,Male,64,85,61,84,66,64,40,56,Engineering,Environmental Engineer,77384,Hybrid,75,59,49
22,Professional Degree,Female,66,32,45,57,31,11,42,21,Media and Communication,Technical Writer,129555,Travel-based,70,74,27
36,Bachelor's,Male,10,53,48,24,52,42,46,51,Social Sciences,Anthropologist,82403,Hybrid,79,51,55
30,Master's,Female,29,36,79,69,74,76,41,56,Culinary and Hospitality,Nutritional Consultant,76325,Remote,72,62,63
36,PhD,Male,61,63,52,52,55,83,15,31,Engineering,Civil Engineer,92882,Flexible,83,73,55
37,Bachelor's,Male,39,63,50,41,64,63,54,84,Creative,Fashion Designer,161991,Remote,67,87,70
30,Bachelor's,Female,67,45,50,30,62,21,48,50,Science,Environmental Scientist,32061,Flexible,55,51,15
40,Master's,Female,56,50,32,57,14,2,45,39,Media and Communication,Broadcast Journalist,134522,Hybrid,59,80,53
40,Associate Degree,Male,45,78,46,67,28,42,48,75,Technology,Cloud Solutions Architect,74006,On-site,28,16,43
30,High School,Female,19,3,45,44,45,55,32,86,Finance and Economics,Financial Planner,34603,Flexible,53,59,76
42,Professional Degree,Non-Binary,45,29,13,65,63,55,40,28,Creative,Writer/Author,62452,Remote,95,59,24
20,High School,Female,64,80,66,58,41,37,5,51,Media and Communication,Journalist,79398,Remote,71,52,36
29,Bachelor's,Female,82,65,68,48,60,32,63,46,Education,Educational Psychologist,76238,On-site,100,40,50
39,Bachelor's,Non-Binary,82,73,51,41,15,33,63,44,Media and Communication,Media Strategist,98605,Remote,92,68,9
20,Bachelor's,Male,57,77,84,40,66,79,58,76,Creative,Art Director,66352,Flexible,67,59,58
39,PhD,Female,36,46,65,91,9,90,45,69,Creative,Multimedia Artist,63161,Remote,65,83,81
34,PhD,Female,43,76,48,18,37,18,45,63,Healthcare,Pharmacist,76757,Remote,73,47,42
40,Master's,Male,66,95,52,65,18,42,45,30,Social Sciences,Cultural Researcher,69860,On-site,100,49,48
40,Bachelor's,Male,90,80,37,51,41,47,30,41,Media and Communication,Technical Writer,92602,Hybrid,69,67,57
44,Associate Degree,Female,45,78,13,63,60,37,43,59,Science,Geneticist,103847,Remote,61,78,15
46,High School,Male,13,99,32,79,49,34,55,71,Media and Communication,Communications Consultant,84635,Remote,82,29,64
35,High School,Male,39,28,63,63,63,59,69,78,Social Sciences,International Relations Specialist,136538,Hybrid,43,22,3
24,Bachelor's,Male,44,17,42,31,45,56,43,42,Finance and Economics,Financial Planner,133089,Remote,66,65,71
50,Bachelor's,Non-Binary,68,25,25,38,79,40,12,45,Business,Digital Marketer,67389,On-site,73,20,29
45,Master's,Female,64,26,43,52,45,45,16,27,Arts and Performance,Stage Designer,104219,Travel-based,43,52,0
42,PhD,Male,62,39,70,65,44,42,72,55,Culinary and Hospitality,Sommelier,87955,Flexible,38,81,2
35,Bachelor's,Male,64,85,31,39,48,31,70,49,Culinary and Hospitality,Nutritional Consultant,82849,Hybrid,54,62,62
34,Professional Degree,Non-Binary,33,52,70,27,19,51,35,51,Engineering,Environmental Engineer,105695,Remote,47,66,7
35,Professional Degree,Female,37,39,84,56,68,53,62,58,Business,Product Manager,89695,Hybrid,100,65,72
45,Associate Degree,Male,27,46,58,51,64,66,23,76,Engineering,Electrical Engineer,67026,Travel-based,86,50,38
32,PhD,Female,37,42,14,33,25,45,63,61,Culinary and Hospitality,Sommelier,69142,Flexible,70,85,71
35,Bachelor's,Male,7,26,47,47,60,59,15,60,Creative,Music Producer,117006,Travel-based,67,64,62
47,Bachelor's,Female,32,31,59,43,55,90,58,54,Engineering,Aerospace Engineer,82824,Remote,91,43,16
32,Master's,Male,58,79,78,59,53,20,37,44,Culinary and Hospitality,Food Critic,142349,Hybrid,100,43,55
37,Bachelor's,Non-Binary,66,35,79,19,68,60,35,46,Education,School Administrator,37268,On-site,85,37,28
47,High School,Female,7,87,50,56,21,76,54,73,Social Sciences,Urban Planner,65552,Flexible,66,84,77
29,Professional Degree,Female,68,57,71,72,15,77,69,43,Media and Communication,Social Media Manager,103482,Hybrid,63,67,48
40,High School,Female,51,41,54,100,36,45,37,39,Science,Marine Biologist,84824,Remote,91,76,64
43,Associate Degree,Male,47,19,67,53,50,41,65,57,Media and Communication,Technical Writer,117038,Remote,82,55,25
38,Bachelor's,Male,0,49,45,38,65,64,59,71,Technology,Data Scientist,149744,Remote,58,40,41
42,Bachelor's,Female,40,76,31,93,91,48,73,42,Culinary and Hospitality,Hospitality Manager,46437,Remote,0,80,46
32,Bachelor's,Female,56,77,51,70,41,43,71,1,Science,Forensic Scientist,125818,On-site,59,60,42
40,Bachelor's,Male,68,20,47,41,69,64,45,29,Engineering,Software Engineering Manager,36449,On-site,39,81,49
39,Bachelor's,Prefer Not to Say,24,87,31,50,53,35,5,54,Social Sciences,International Relations Specialist,81330,On-site,75,45,52
50,Bachelor's,Female,39,41,17,46,58,40,58,46,Culinary and Hospitality,Nutritional Consultant,78825,Hybrid,72,34,56
29,Associate Degree,Female,37,53,45,84,66,61,46,9,Arts and Performance,Choreographer,76750,Hybrid,69,44,37
42,Professional Degree,Male,55,73,44,55,57,55,76,66,Business,Startup Founder,84581,Remote,100,34,48
32,Bachelor's,Prefer Not to Say,30,59,60,49,46,69,33,43,Social Sciences,Human Rights Advocate,93565,Hybrid,49,50,72
25,Bachelor's,Female,87,72,67,50,80,28,65,41,Social Sciences,Political Scientist,80693,Hybrid,61,55,65
30,Bachelor's,Female,10,65,30,87,44,76,14,65,Technology,Cybersecurity Analyst,39159,Remote,56,80,76
41,Professional Degree,Prefer Not to Say,53,56,43,81,100,52,59,51,Science,Marine Biologist,53009,Remote,58,86,67
25,Associate Degree,Prefer Not to Say,100,63,38,36,66,68,66,41,Media and Communication,Media Strategist,56912,On-site,51,66,52
39,Bachelor's,Male,54,61,66,80,34,63,65,44,Business,Startup Founder,148258,Travel-based,72,62,44
40,Master's,Female,45,40,24,72,65,44,32,54,Culinary and Hospitality,Catering Manager,47093,On-site,74,50,46
37,Bachelor's,Prefer Not to Say,72,47,43,19,72,68,51,23,Arts and Performance,Opera Singer,113957,Remote,76,36,39
20,Master's,Female,58,33,40,69,65,72,50,68,Technology,Software Engineer,120211,On-site,70,48,45
22,Master's,Male,45,79,28,23,25,100,59,45,Finance and Economics,Securities Trader,65787,Travel-based,60,61,55
33,Bachelor's,Male,36,42,57,30,100,65,25,0,Creative,Fashion Designer,99714,Travel-based,68,46,64
29,Bachelor's,Female,32,42,30,42,77,35,62,65,Healthcare,Doctor/Physician,297068,Travel-based,51,38,33
34,Associate Degree,Male,91,70,52,67,49,70,9,47,Technology,Cloud Solutions Architect,77915,Hybrid,97,18,53
42,Professional Degree,Female,39,42,58,39,49,76,33,41,Media and Communication,Journalist,98247,Remote,93,54,100
43,Associate Degree,Male,67,59,57,21,57,48,61,49,Arts and Performance,Professional Musician,-2365,Hybrid,61,75,69
20,High School,Male,55,44,77,54,40,69,44,40,Media and Communication,Podcast Producer,110607,Travel-based,81,68,82
50,Professional Degree,Female,35,35,53,80,31,85,21,48,Engineering,Automotive Engineer,66363,Remote,86,63,32
49,Bachelor's,Female,8,54,48,52,44,24,81,73,Business,Startup Founder,66717,Hybrid,18,58,40
39,Bachelor's,Female,66,53,48,53,33,40,47,64,Science,Zoologist,53656,On-site,71,88,45
50,Bachelor's,Male,31,68,77,43,36,61,57,64,Science,Zoologist,49233,Hybrid,71,100,53
37,Associate Degree,Female,75,46,42,23,61,100,46,59,Business,Financial Analyst,120527,Travel-based,71,49,24
20,Bachelor's,Female,82,58,51,42,58,59,58,71,Science,Geologist,59895,Remote,59,86,90
39,Bachelor's,Female,34,38,60,68,76,46,59,55,Arts and Performance,Stage Designer,56704,Remote,83,60,34
27,Bachelor's,Female,14,49,79,0,44,64,14,46,Arts and Performance,Sound Engineer,72927,On-site,48,37,30
23,High School,Male,49,95,65,70,66,36,56,72,Media and Communication,Communications Consultant,100601,Flexible,100,77,54
43,PhD,Female,44,49,29,97,82,52,94,63,Creative,Fashion Designer,96959,Remote,87,51,68
21,Bachelor's,Female,34,80,84,78,94,62,60,32,Education,Special Education Specialist,75355,Remote,29,48,10
46,Bachelor's,Male,58,9,46,89,47,30,14,15,Culinary and Hospitality,Nutritional Consultant,74470,Hybrid,61,71,41
34,Bachelor's,Male,25,56,22,35,70,58,64,93,Finance and Economics,Financial Planner,77070,Remote,61,59,50
25,Master's,Female,52,57,58,51,69,51,42,31,Healthcare,Pharmacist,64028,Remote,51,29,79
31,Bachelor's,Female,44,83,43,100,51,91,68,57,Media and Communication,Communications Consultant,104040,Flexible,100,92,72
30,Professional Degree,Female,30,36,85,79,39,3,46,30,Finance and Economics,Economist,36714,Remote,100,50,29
28,Bachelor's,Female,78,46,27,60,42,46,53,34,Finance and Economics,Credit Analyst,113918,Remote,52,28,49
37,Associate Degree,Male,80,48,52,51,36,30,30,57,Creative,Video Game Designer,73644,On-site,92,75,66
38,Master's,Male,51,0,34,20,63,52,29,56,Healthcare,Psychiatrist,63693,On-site,81,32,29
49,Associate Degree,Male,38,76,51,55,49,46,59,65,Creative,Fashion Designer,135078,Hybrid,74,42,46
38,PhD,Non-Binary,73,40,49,66,75,3,35,30,Science,Astronomer,104923,Hybrid,73,58,32
44,Master's,Male,69,64,43,52,41,23,69,48,Creative,Graphic Designer,65782,Flexible,29,30,61
21,PhD,Prefer Not to Say,36,54,66,65,62,49,84,64,Education,University Professor,73029,Flexible,69,64,61
20,Associate Degree,Male,42,85,53,52,70,57,34,50,Business,Entrepreneur,249868,On-site,89,37,54
30,Bachelor's,Female,34,48,57,26,40,52,77,0,Social Sciences,Political Scientist,70162,On-site,56,72,42
31,PhD,Male,62,39,83,62,54,47,74,77,Culinary and Hospitality,Nutritional Consultant,104039,Remote,89,37,36
32,Master's,Male,35,52,80,51,25,52,66,48,Technology,DevOps Engineer,83147,On-site,71,85,67
20,PhD,Male,74,43,42,39,59,27,30,49,Culinary and Hospitality,Hospitality Manager,67303,On-site,100,47,57
42,Master's,Male,64,38,98,41,36,64,54,34,Finance and Economics,Corporate Treasurer,85120,On-site,100,100,70
43,Master's,Female,50,96,63,62,42,51,42,79,Science,Forensic Scientist,58680,Travel-based,69,28,77
32,Master's,Prefer Not to Say,40,64,50,37,53,36,39,20,Healthcare,Dentist,86114,Remote,100,51,60
50,Associate Degree,Female,41,33,73,57,73,58,46,46,Healthcare,Dentist,121585,On-site,44,69,46
47,Master's,Female,13,53,43,20,9,28,51,38,Arts and Performance,Composer,48034,Remote,84,39,77
26,Master's,Male,28,38,62,23,56,31,34,58,Healthcare,Psychologist,106596,Remote,64,100,32
30,Bachelor's,Male,71,33,27,59,82,65,22,38,Technology,User Experience Designer,91861,On-site,58,80,82
50,Professional Degree,Male,49,38,35,26,100,78,37,85,Culinary and Hospitality,Food Critic,63462,Travel-based,60,71,59
35,Master's,Female,11,40,50,76,38,66,9,73,Creative,Fashion Designer,97190,On-site,74,42,53
34,High School,Female,25,32,70,38,48,20,67,24,Engineering,Structural Engineer,115435,Remote,70,78,29
29,Associate Degree,Female,82,49,43,68,20,0,73,33,Social Sciences,International Relations Specialist,50080,Travel-based,82,77,51
31,Associate Degree,Male,28,29,15,58,31,49,46,31,Healthcare,Veterinarian,83544,Travel-based,100,30,100
47,Master's,Female,44,54,53,87,67,34,57,66,Business,Product Manager,125365,Travel-based,53,36,60
28,Professional Degree,Female,73,43,30,68,62,52,72,74,Engineering,Automotive Engineer,132502,Travel-based,30,58,89
25,Bachelor's,Prefer Not to Say,5,44,26,34,72,15,53,52,Healthcare,Doctor/Physician,198032,Remote,54,58,53
50,Master's,Male,26,83,22,19,31,73,39,57,Education,Educational Psychologist,123224,Hybrid,85,61,49
24,High School,Male,44,85,56,20,21,68,64,32,Social Sciences,Sociologist,128736,Hybrid,100,75,82
41,Professional Degree,Male,46,42,50,32,43,76,18,19,Technology,Machine Learning Engineer,27231,On-site,69,77,43
33,High School,Male,41,64,23,50,46,51,15,40,Arts and Performance,Choreographer,140392,Remote,86,60,61
40,Bachelor's,Male,75,44,81,72,41,88,59,94,Creative,Art Director,61974,Travel-based,63,66,39
29,Master's,Female,75,49,18,54,53,41,55,49,Finance and Economics,Risk Manager,95947,Remote,44,73,61
50,Bachelor's,Male,19,47,28,58,53,47,80,72,Culinary and Hospitality,Event Planner,131940,Hybrid,92,53,66
34,Professional Degree,Prefer Not to Say,18,56,63,35,50,48,78,87,Technology,Cybersecurity Analyst,119431,Hybrid,83,84,48
34,Bachelor's,Female,92,35,62,67,44,61,69,55,Engineering,Electrical Engineer,108926,On-site,65,69,52
32,Bachelor's,Male,50,74,15,32,96,56,42,66,Technology,DevOps Engineer,95644,Remote,55,44,8
36,Bachelor's,Female,57,53,16,51,59,22,20,29,Engineering,Automotive Engineer,109893,On-site,78,75,10
32,Master's,Non-Binary,20,34,66,75,29,73,64,50,Business,Investment Banker,139688,Hybrid,74,45,38
48,High School,Male,55,41,62,93,37,68,54,21,Engineering,Automotive Engineer,95425,On-site,88,31,41
20,Professional Degree,Female,63,48,50,62,85,56,23,46,Finance and Economics,Real Estate Appraiser,104975,Travel-based,60,77,68
21,Bachelor's,Female,62,26,64,64,41,48,54,38,Arts and Performance,Choreographer,86951,Hybrid,97,32,49
27,Bachelor's,Male,71,27,23,44,31,23,89,41,Technology,DevOps Engineer,33744,Remote,96,100,30
28,Bachelor's,Male,53,23,49,23,49,41,55,63,Culinary and Hospitality,Pastry Chef,81729,Hybrid,61,65,59
40,Bachelor's,Male,48,49,58,29,79,45,52,49,Arts and Performance,Choreographer,83502,On-site,99,73,57
20,Bachelor's,Prefer Not to Say,75,68,13,69,71,61,19,64,Healthcare,Psychiatrist,98234,Hybrid,63,80,39
44,Master's,Male,44,38,49,23,47,57,67,55,Arts and Performance,Arts Administrator,128085,On-site,72,31,77
27,Bachelor's,Male,39,46,56,44,33,70,55,29,Social Sciences,Community Development Manager,63458,Remote,94,66,53
36,Associate Degree,Female,46,48,59,49,48,71,22,25,Media and Communication,Content Creator,111295,Hybrid,100,76,98
31,Professional Degree,Male,37,59,69,24,46,49,36,39,Culinary and Hospitality,Chef,108954,Hybrid,77,77,59
26,High School,Female,58,31,44,29,38,52,41,32,Education,Corporate Trainer,69162,Hybrid,48,83,48
20,Associate Degree,Prefer Not to Say,46,22,64,51,81,54,35,12,Finance and Economics,Fundraising Manager,72756,Remote,100,76,24
41,Bachelor's,Female,58,69,68,82,38,42,32,49,Healthcare,Veterinarian,65383,On-site,99,57,15
37,Master's,Male,64,48,12,47,71,26,65,16,Healthcare,Doctor/Physician,255637,Hybrid,100,60,61
30,Bachelor's,Male,38,54,35,21,28,65,44,84,Science,Astronomer,100325,Hybrid,61,51,64
26,Bachelor's,Male,15,61,74,18,43,37,61,43,Healthcare,Doctor/Physician,227908,Travel-based,61,86,42
31,Associate Degree,Male,61,43,59,34,44,34,33,75,Business,Digital Marketer,116338,On-site,85,46,43
50,Bachelor's,Female,60,38,91,62,47,51,54,45,Engineering,Robotics Engineer,84345,Flexible,74,32,83
50,Bachelor's,Male,36,63,34,56,54,66,74,38,Arts and Performance,Choreographer,77500,Remote,70,88,80
30,Bachelor's,Female,44,26,66,9,36,49,76,39,Media and Communication,Social Media Manager,113354,Hybrid,78,69,48
43,Bachelor's,Male,39,30,57,40,51,56,75,66,Technology,Machine Learning Engineer,136221,Hybrid,38,46,27
30,Professional Degree,Female,63,83,46,51,32,53,27,35,Healthcare,Nurse Practitioner,112517,Travel-based,67,75,41
21,Associate Degree,Prefer Not to Say,73,24,38,46,70,39,31,53,Media and Communication,Podcast Producer,91495,Remote,46,56,41
20,Master's,Non-Binary,93,52,53,34,68,39,0,39,Finance and Economics,Risk Manager,79030,Hybrid,57,54,47
28,Master's,Male,44,17,11,52,52,68,45,26,Technology,Network Security Specialist,97676,Travel-based,99,21,32
36,Master's,Male,26,32,33,42,72,74,47,54,Engineering,Environmental Engineer,138650,Flexible,24,44,16
20,Bachelor's,Female,86,50,27,64,65,23,39,68,Arts and Performance,Professional Musician,127744,Remote,22,44,56
32,Master's,Male,55,14,39,71,36,20,73,59,Culinary and Hospitality,Restaurant Manager,115848,On-site,76,59,48
41,Professional Degree,Male,36,12,62,72,46,68,43,48,Technology,Machine Learning Engineer,74483,Remote,33,95,44
42,Master's,Male,36,53,44,41,48,49,74,80,Social Sciences,Cultural Researcher,110624,On-site,80,73,75
50,Bachelor's,Female,24,36,34,44,64,28,60,38,Technology,DevOps Engineer,135437,On-site,56,53,54
34,Associate Degree,Male,28,36,28,55,59,64,35,60,Science,Zoologist,47757,Remote,73,62,49
37,Bachelor's,Male,52,58,64,28,46,60,45,69,Education,Curriculum Developer,110183,Hybrid,68,62,11
20,Professional Degree,Female,45,25,65,49,32,66,59,45,Media and Communication,Social Media Manager,59276,Flexible,85,35,33
20,Associate Degree,Female,49,45,71,55,61,39,25,43,Social Sciences,Social Worker,72082,On-site,53,76,65
24,Bachelor's,Female,47,53,79,52,62,34,51,53,Science,Biologist,101287,Remote,80,57,50
47,Bachelor's,Female,5,72,16,56,97,49,54,44,Media and Communication,Copywriter,64719,Flexible,68,73,57
24,Bachelor's,Female,48,42,53,36,46,50,52,55,Media and Communication,Broadcast Journalist,87462,Remote,66,57,34
45,Bachelor's,Male,73,23,62,66,23,62,68,31,Social Sciences,Sociologist,102114,Remote,50,55,54
47,Bachelor's,Male,9,76,61,38,67,29,52,55,Culinary and Hospitality,Food Critic,70118,Travel-based,73,65,33
28,Bachelor's,Male,55,38,70,81,44,68,46,31,Finance and Economics,Securities Trader,31391,On-site,83,51,52
